"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
50.3499157260963,1.60611204295434,0.390844771119608,4.10933486036796,3.96800348737805e-05,0.000947008482575062,"ENSMUSG00000000093.6"
2148.02712587372,1.6886600492685,0.15890588872477,10.6267933984077,2.23671089929441e-26,9.30365224063651e-24,"ENSMUSG00000000184.12"
12.190390091333,4.51008987546299,1.1736283967672,3.84286021698708,0.000121608737894407,0.00242523361988046,"ENSMUSG00000000214.11"
23.216883125055,2.3977734419091,0.570761209232097,4.20100981483144,2.6572706971674e-05,0.000671333125359794,"ENSMUSG00000000253.12"
44.8487908066964,1.31076384253074,0.431380290466129,3.03853437790213,0.00237731978617008,0.0281116579080021,"ENSMUSG00000000320.10"
67.5714970348306,1.3070452948974,0.390028201637199,3.35115586362959,0.000804749937090025,0.0117550011713735,"ENSMUSG00000000385.7"
1841.51807925184,3.37378629526641,0.279434385593736,12.0736261147599,1.45575310923949e-33,9.08285957800494e-31,"ENSMUSG00000000394.15"
83.0606331015826,2.15528513372382,0.338923147357757,6.35921491502251,2.02787515565768e-10,1.69507076408324e-08,"ENSMUSG00000000416.16"
58.449458694547,1.49394091729756,0.38651775206353,3.8651288571398,0.000111030566100929,0.00225393217475141,"ENSMUSG00000000794.9"
244.000364873667,1.169824903356,0.243744746157076,4.79938510183163,1.5915350911106e-06,5.80461754524052e-05,"ENSMUSG00000001123.15"
21.5184016423399,3.08626353170432,0.687982926500925,4.48595948071129,7.2586536243618e-06,0.000216766972337779,"ENSMUSG00000001131.11"
105.868872255358,1.00449644233379,0.286760209879224,3.50291430863739,0.000460197485331728,0.00751369165303299,"ENSMUSG00000001270.8"
24.2262256356752,1.75448762010077,0.518587609026196,3.38320389759282,0.000716454190469662,0.0106886889047865,"ENSMUSG00000001763.14"
64.257286131198,2.61224514754566,0.425884761816836,6.13369010058438,8.58637045327084e-10,6.42716847345059e-08,"ENSMUSG00000001901.15"
426.28947224164,1.29248752142254,0.286092667371646,4.51772334221887,6.25080813615279e-06,0.000188930135187871,"ENSMUSG00000001930.17"
49.4137177128743,1.25111212195634,0.383837005792867,3.25948801984843,0.00111613494271424,0.0154019569109146,"ENSMUSG00000001943.7"
64.0787731903464,1.34979001828521,0.374723504920549,3.6020959469073,0.000315661807065331,0.00552013190133266,"ENSMUSG00000002006.12"
16.8678913274801,2.1674240424288,0.745872373385605,2.90589130227548,0.0036620864000577,0.039105531423599,"ENSMUSG00000002012.13"
12.5882489093812,2.82804440810966,0.857724148909055,3.29714910289826,0.000976716351428999,0.0137829036021524,"ENSMUSG00000002032.16"
10.4117493912673,2.73547126969653,0.932916275535272,2.93217230895346,0.00336599934833454,0.036730955206472,"ENSMUSG00000002228.7"
642.85379933448,2.14730502731928,0.264564715174494,8.11636965988837,4.80336085702914e-16,8.74111605961449e-14,"ENSMUSG00000002265.16"
18.1721226425853,2.04002836612972,0.692024572003904,2.94791319363471,0.0031992688716461,0.0353965973322719,"ENSMUSG00000002266.16"
220.78451176247,1.89936281927519,0.235387867122441,8.06907697705251,7.08315997413421e-16,1.24992732068813e-13,"ENSMUSG00000002489.15"
86.6551816011216,1.21210170831112,0.300215947967314,4.03743277636633,5.40393228421878e-05,0.00121658114697554,"ENSMUSG00000002799.5"
74.4895283080415,1.02726034294655,0.333426408268455,3.08092075934028,0.00206361559620995,0.0251404215242593,"ENSMUSG00000002847.6"
20.3609281219319,2.34660700952551,0.668481157509001,3.51035625038379,0.000447506698239416,0.00733390433231012,"ENSMUSG00000003279.16"
273.78515094682,1.140088956674,0.208843995227016,5.45904590378434,4.78699995543028e-08,2.60526134646003e-06,"ENSMUSG00000003402.13"
11.5708435844327,2.35698918150192,0.796255920057971,2.96008999384309,0.00307549188278327,0.0342877110352416,"ENSMUSG00000003411.10"
551.148611638256,1.12855268417044,0.212324320947757,5.31523039439334,1.06522460170178e-07,5.18369743502229e-06,"ENSMUSG00000003534.17"
127.356258803292,1.50964536542271,0.306249690610591,4.92945923443325,8.2457538708023e-07,3.26651519553098e-05,"ENSMUSG00000003762.13"
266.028795604573,1.13181904138584,0.211335593223774,5.35555333638195,8.52949806124151e-08,4.3316956723805e-06,"ENSMUSG00000003865.16"
9.73429384872331,4.25904065070999,1.22133495026651,3.48720115622714,0.000488104082559608,0.0078807473465502,"ENSMUSG00000004038.9"
14.241021054425,2.77578359755595,0.789601497156019,3.51542342251597,0.000439053359720332,0.00722246910952373,"ENSMUSG00000004113.18"
1024.35081928323,4.43785931549438,0.270745625133221,16.3912503232904,2.20854734439814e-60,3.21527684221963e-57,"ENSMUSG00000004366.3"
169.334644362863,1.00013753206786,0.242346625856582,4.12688861886499,3.67704374024157e-05,0.000890956368127881,"ENSMUSG00000004562.16"
43.3201469692625,2.40767064787234,0.444360513359418,5.41828217289171,6.01743937904956e-08,3.22468300466245e-06,"ENSMUSG00000005089.15"
135.203770440189,2.17463237276848,0.362134783707718,6.00503588885745,1.91289587264968e-09,1.35846710956056e-07,"ENSMUSG00000005232.11"
26.6267017235837,2.14861845518886,0.536546251204049,4.00453539721358,6.21394864770337e-05,0.00137855016888327,"ENSMUSG00000005237.14"
71.9432524462595,1.69643677754305,0.325202640853539,5.2165528948059,1.82283538930175e-07,8.44693216209592e-06,"ENSMUSG00000005268.20"
372.398641123127,1.02067107634049,0.231412299791437,4.4106172284722,1.03076384509718e-05,0.00029520400612865,"ENSMUSG00000005373.13"
320.126146662285,2.47442237804861,0.353642225447106,6.99696529428925,2.6156604493046e-12,2.83823528256841e-10,"ENSMUSG00000005640.11"
92.5874939810148,1.85280885310317,0.292857089666759,6.32666552553491,2.50515552091852e-10,2.06438995049276e-08,"ENSMUSG00000006219.12"
16.6958419303356,2.49143062856027,0.695464859298047,3.5823961415893,0.000340456988561112,0.00585988531050506,"ENSMUSG00000006403.12"
20.9369959121719,1.63000455508594,0.571583955108078,2.85173252418838,0.00434816715026075,0.0446050004416682,"ENSMUSG00000006411.12"
167.393648306994,4.5836379595721,0.362753064268419,12.6356974235797,1.34198956318723e-36,9.76856569536701e-34,"ENSMUSG00000006435.15"
16.7975105129544,2.08490244404842,0.647691136404669,3.2189763405158,0.00128649099541095,0.0172222204519765,"ENSMUSG00000006567.11"
75.6633903616851,2.05887925204516,0.410550076555233,5.0149284328977,5.30532094789976e-07,2.21202761240594e-05,"ENSMUSG00000006575.14"
49.6210554474007,1.23697720409501,0.389343847058313,3.17708168098968,0.00148765130948303,0.0193949764004989,"ENSMUSG00000006586.15"
136.111944673981,2.48221176290656,0.351847462797839,7.05479511822646,1.72855219615591e-12,1.93988465922158e-10,"ENSMUSG00000006930.15"
3.56279395357123,4.68615646233243,1.65197553181986,2.83669846923824,0.00455826381925649,0.0463790733386202,"ENSMUSG00000007021.4"
3.97635152098394,4.85591800207153,1.60163460314961,3.03185133021127,0.00243058883702891,0.0285281814531301,"ENSMUSG00000008129.14"
108.534742320518,1.19608228882847,0.293427623678468,4.07624297206288,4.5769194598127e-05,0.00106611710617237,"ENSMUSG00000008167.14"
