gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.4,157.190732722129,-1.33494775340138,0.296431955844977,-4.50338678769001,6.68790022808329E-06,4.03297797708978E-05
ENSMUSG00000000028.14,7.11972107959975,0.0317139198750152,1.16697546701776,0.0271761667415863,0.978319224869132,0.985642239570111
ENSMUSG00000000056.7,69.0238153298884,-0.110362952916311,0.393684876356774,-0.280333229809659,0.779221858716335,0.844941740884565
ENSMUSG00000000058.6,29.4669698000328,-0.676652964925442,0.597748756444168,-1.13200229633375,0.257633468994494,0.372381073764666
ENSMUSG00000000078.6,117.376632478063,1.11539305561048,0.453549263404064,2.45925447489215,0.0139225892369379,0.0345254426772742
ENSMUSG00000000085.16,66.5850339606784,0.539699335759322,0.382884946824622,1.40956007864819,0.158669621858859,0.253631976871023
ENSMUSG00000000088.6,111.452843506561,-2.64155067029149,0.373268227562347,-7.07681628179903,1.47503871904731E-12,2.48566505083902E-11
ENSMUSG00000000093.6,15.4528861998183,0.696603919315294,0.754212183381422,0.923617961449722,0.355685258857724,0.476452553251811
ENSMUSG00000000094.12,10.0351216765035,3.34564626888088,1.24163151908177,2.69455649076557,0.0070482377846607,0.0193423057091297
ENSMUSG00000000120.6,3.76861353120294,5.26604922110948,2.27343748632917,2.31633781565394,0.0205398311327091,0.0477239189197897
ENSMUSG00000000125.5,3.4003150589084,1.29320252601929,1.49200515553208,0.866754730185973,0.386076410894197,0.506319064118821
ENSMUSG00000000126.11,20.8129593174264,1.00440836847033,0.74199335198909,1.35366222052769,0.175844166385955,0.275392243765192
ENSMUSG00000000127.14,36.0305421020519,0.811086128911486,0.501323688497667,1.61788909545067,0.105686500720702,0.182586214652358
ENSMUSG00000000131.15,252.663143444881,0.996586425665938,0.269308070106211,3.70054423275507,0.000215137573508238,0.000915804206354738
ENSMUSG00000000134.17,133.077397101912,1.28090781558542,0.357404172457512,3.58391959102742,0.000338476324734086,0.00136521705184579
ENSMUSG00000000142.15,49.0062532155499,1.84468471035752,0.564999736723976,3.26493021227498,0.00109491049596378,0.00385151397369195
ENSMUSG00000000148.17,67.0582523941251,1.16378702837322,0.44628296567024,2.60773347381837,0.0091143890648151,0.0241911723389811
ENSMUSG00000000149.10,211.456273808078,1.06738702228656,0.2895294391484,3.68662691236545,0.00022724613664723,0.000960667067059752
ENSMUSG00000000154.16,27.2469707713887,-0.5102698628624,0.535631993471774,-0.952650082671527,0.340767392791361,0.4610461496533
ENSMUSG00000000157.15,23.6508720388925,2.17010726926809,0.680063785703623,3.1910348924444,0.00141764158438886,0.00479675053766166
ENSMUSG00000000159.15,77.731726479063,-0.605779888261819,0.398624266511414,-1.51967639492533,0.128592327070715,0.213794995927997
ENSMUSG00000000167.14,2.98436305284732,-0.933923837208079,1.7323805565676,-0.53909854487081,0.589818859595285,0.695063990630819
ENSMUSG00000000168.9,71.1201976514965,-1.12245124321796,0.395679973883447,-2.83676535913994,0.00455730903256033,0.0132932523977549
ENSMUSG00000000171.4,158.771980016399,-2.50371428250559,0.306758117298508,-8.16185176957912,3.29926937613925E-16,8.96083654013857E-15
ENSMUSG00000000184.12,565.662673586605,1.17504202284912,0.242370276396847,4.84812758527023,1.24632238329977E-06,8.65456766814891E-06
ENSMUSG00000000194.13,141.397789044347,-0.13412541197856,0.283651366202533,-0.472853044123158,0.636318027136715,0.732692219904173
ENSMUSG00000000197.7,18.9219787305813,1.45271600227641,0.711623449727149,2.04141109013962,0.041209983047053,0.0852342721266331
ENSMUSG00000000202.9,2.95248694498567,-0.850275524251457,1.99968150021692,-0.425205476051672,0.670686892581032,0.761762341112978
ENSMUSG00000000204.15,4.87736062893196,-0.322610390961935,1.4448199028158,-0.2232876155244,0.823311665348914,0.878410964374631
ENSMUSG00000000214.11,2.86854722905808,-2.71303551577061,1.99383321392425,-1.36071337202315,0.173604287108195,0.272579761841161
ENSMUSG00000000215.11,10641.708640236,-0.638434437453365,0.64521003727329,-0.989498613740482,0.32241924777174,0.442545336241556
ENSMUSG00000000223.13,2.52713707207065,4.68600321211188,2.49735170639626,1.8763889764145,0.0606018871707615,0.116578195345438
ENSMUSG00000000244.17,20.5013263276294,2.0992451562285,0.985902152147377,2.1292631846438,0.0332324919049346,0.0712101083104238
ENSMUSG00000000253.12,7.08516483857514,-0.945992374288431,1.02707873875899,-0.921051462355716,0.357023559586,0.477871740408065
ENSMUSG00000000266.11,44.6608939262588,0.548904052265423,0.453366738253062,1.21072854700477,0.225999457815532,0.336425039546654
ENSMUSG00000000275.16,171.7960926748,-0.0596728481348689,0.292530384438104,-0.203988547205068,0.838362448749847,0.888605086689027
ENSMUSG00000000276.11,35.7844390125976,1.36281919970065,0.52895880515651,2.57641840236957,0.00998297648501696,0.0260725771106706
