gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.4,120.13069475257,-0.393873578224314,0.272907787903296,-1.44324785031009,0.148950664509375,0.497745936027595
ENSMUSG00000000028.14,10.8480089652029,0.219001802437625,0.789246587804879,0.27748210232588,0.78140994674514,0.943569838342046
ENSMUSG00000000056.7,71.470141707824,-0.928343163929536,0.320193950177194,-2.89931512889545,0.0037397881372746,0.0396926480912438
ENSMUSG00000000058.6,44.3854459451546,0.727515389609754,0.41418640723711,1.75649267310038,0.0790043213964179,0.349684695919792
ENSMUSG00000000078.6,210.235663132217,-0.00351608959134471,0.220878626633374,-0.0159186501878287,0.987299291189091,0.997250181490006
ENSMUSG00000000085.16,127.307988885557,0.476822494338954,0.257967863480152,1.84837943729236,0.0645474712628464,0.310817068071093
ENSMUSG00000000088.6,45.225419244511,-0.294416478097052,0.381791061166447,-0.771145550651583,0.440620663813315,0.791857113138423
ENSMUSG00000000093.6,50.3499157260963,1.60611204295434,0.390844771119608,4.10933486036796,3.96800348737805E-05,0.000947008482575062
ENSMUSG00000000094.12,14.8141267318017,-1.55237800760437,0.664336358256193,-2.33673498117608,0.0194529684424625,0.138768215063217
ENSMUSG00000000120.6,17.829865804143,1.50769098797578,0.676004801279376,2.23029627174599,0.0257277805318787,0.168844600259925
ENSMUSG00000000125.5,4.19063157840035,-1.47089062200396,1.07784231523671,-1.36466215995697,0.172359257999729,0.533550307255823
ENSMUSG00000000126.11,29.9243129304587,-0.637651924081195,0.500324802368949,-1.27447594255177,0.20249479331445,0.578568307008898
ENSMUSG00000000127.14,50.1931571641309,-0.618342512117072,0.352943721632773,-1.75195781711748,0.0797810615931319,0.35142260161437
ENSMUSG00000000131.15,429.311108697829,-0.0777264717046699,0.195780580582619,-0.39700807645664,0.691361504864796,0.91358378950819
ENSMUSG00000000134.17,266.075204583273,0.234407852072293,0.194339947270706,1.20617431137703,0.227750286699838,0.608099879053365
ENSMUSG00000000142.15,111.243106700001,0.362371213808264,0.322797842931901,1.12259490496258,0.261609580268312,0.644115494973307
