gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.4,553.202193082091,-2.21968505485251,0.214388209527774,-10.353578024378,4.0313220053505E-25,1.59721130264917E-23
ENSMUSG00000000028.14,29.2378481845828,-0.505915116518024,0.543665882004766,-0.93056256289702,0.352079887506545,0.457797776676573
ENSMUSG00000000031.15,2.58213373522323,-0.825995608923003,2.08927326401244,-0.395350681574645,0.692584100932343,0.769950149654749
ENSMUSG00000000037.16,2.61283736828847,-0.0676272136275859,2.19207037975687,-0.0308508404894767,0.975388494847493,0.983222752188755
ENSMUSG00000000049.11,2.01445311779895,1.24904637572943,2.3272757891774,0.536698908456792,0.591475610152792,0.685887867278542
ENSMUSG00000000056.7,128.461168679363,-0.624874823268692,0.32955597533035,-1.89611134388418,0.0579453228854724,0.101578790762514
ENSMUSG00000000058.6,242.009775893804,-1.83025842163662,0.292915626341545,-6.24841509651145,4.14638512866125E-10,3.57189009090058E-09
ENSMUSG00000000078.6,544.626356119979,-0.593481968546124,0.179656806689267,-3.30342044636586,0.000955130653974632,0.00277227300604547
ENSMUSG00000000085.16,281.162319771193,0.520487697783457,0.230764118785237,2.25549665400042,0.0241021720673271,0.0474638188818105
ENSMUSG00000000088.6,188.813614979589,-1.9337910719333,0.253326148317817,-7.6336023137541,2.28283378221233E-14,3.14155700862693E-13
ENSMUSG00000000093.6,123.004184509883,1.31172261617691,0.290842037701493,4.51008604720064,6.4801335422659E-06,2.979752499174E-05
ENSMUSG00000000094.12,16.9097311644425,-0.138368176851883,0.752137187576472,-0.183966674082067,0.854039598906547,0.896815574939767
ENSMUSG00000000120.6,43.458774629389,1.41226804449419,0.474224114778588,2.97806037374031,0.00290078839155598,0.00743792805219254
ENSMUSG00000000125.5,3.1117984306522,3.00478886596249,1.82259477448407,1.64863243768109,0.0992229591088975,0.1606996368104
ENSMUSG00000000126.11,57.5464317338046,-0.379849908563044,0.375531085907332,-1.01150057296929,0.31177690702869,0.415418448468805
ENSMUSG00000000127.14,85.6029378607928,-0.0381805437115995,0.324972030192404,-0.117488707225032,0.906472792395772,0.935870755222193
ENSMUSG00000000131.15,714.622947705531,1.0355570362569,0.16650208855868,6.21948376276337,4.98793234696274E-10,4.25486666910835E-09
ENSMUSG00000000134.17,521.495430944155,0.723492261184848,0.167233491985367,4.32624023211902,1.51676000218112E-05,6.52034717025746E-05
ENSMUSG00000000142.15,230.688933248629,0.660648775718342,0.215923819195063,3.05963824732797,0.00221604484401145,0.00587330347567477
ENSMUSG00000000148.17,207.307435186108,0.525188145265456,0.261593190283365,2.00765220492383,0.0446802628712412,0.0813105521853212
ENSMUSG00000000149.10,667.887289502225,0.881073561354466,0.206835162825989,4.25978614717323,2.04622586014928E-05,8.55683316098736E-05
ENSMUSG00000000154.16,59.5511542322458,-0.196873918785456,0.402005895647181,-0.489728934120511,0.624325724494277,0.713675640015028
ENSMUSG00000000157.15,66.1351308590221,3.5687024344643,0.476176786190683,7.49449057148123,6.65563518749595E-14,8.70758164136876E-13
ENSMUSG00000000159.15,175.305201674223,-0.256055065216591,0.273677453563683,-0.935608914371195,0.349474583123457,0.455116054907701
ENSMUSG00000000167.14,11.5845043603545,-0.40102833557,0.845870992010914,-0.474101061932179,0.635427841380309,0.723289639248895
ENSMUSG00000000168.9,230.241305397921,-1.52105055284808,0.222686820689027,-6.8304471191502,8.46503793812263E-12,8.84881447107791E-11
ENSMUSG00000000171.4,386.366483807982,-2.28027187892751,0.212662285629541,-10.7225024511387,7.98141648381912E-27,3.58975339236835E-25
ENSMUSG00000000184.12,5444.69227037822,1.2100528660531,0.137254993342183,8.81609358310471,1.18522430227211E-18,2.49659458807248E-17
ENSMUSG00000000194.13,507.325797352512,-0.786093779731928,0.231264356508109,-3.39911342846456,0.000676046728279112,0.00202998042664784
ENSMUSG00000000197.7,47.4528476299412,1.11798773341807,0.476854984555789,2.34450256289031,0.0190524795830844,0.0385407701555705
ENSMUSG00000000202.9,25.2332837012045,2.59542669376117,0.674127382181355,3.85005380639314,0.000118091879222182,0.000420504195823599
ENSMUSG00000000204.15,24.2575078880872,-2.37172937727946,0.854629267103572,-2.77515581149883,0.00551752669268972,0.0131157810992496
ENSMUSG00000000214.11,32.3131598409779,2.87985007750771,0.567307102008422,5.07635118141877,3.84751885306946E-07,2.18344095153996E-06
ENSMUSG00000000215.11,39553.6387666441,2.75906394497466,0.233633638660954,11.8093608471278,3.49205732113139E-32,2.39183102593441E-30
ENSMUSG00000000216.8,3.04188106808604,-0.0473906251376125,1.56078891794119,-0.0303632506566772,0.97577735306109,0.983472832065756
ENSMUSG00000000223.13,26.1544101235666,0.997835441353669,0.639654438327814,1.55996016218102,0.118769295739986,0.187686471342409
ENSMUSG00000000244.17,70.0698667318663,0.18240521725644,0.673875880872709,0.270680732808266,0.78663659678202,0.845084432018843
ENSMUSG00000000247.11,2.0468749251266,1.15945608687875,1.98108729195171,0.585262492768041,0.558371230528191,0.655786458979384
ENSMUSG00000000248.16,10.5237457176848,0.370456664620423,1.02656842819217,0.360868943995106,0.718197420522158,0.792038923268819
ENSMUSG00000000253.12,62.6478681732925,1.48296567045524,0.377383790837803,3.92959556414178,8.5088855463535E-05,0.000312599004673134
ENSMUSG00000000263.15,3.70248083675302,5.85647555985392,2.03386288610007,2.879483961224,0.00398326557947032,0.00983857956458993
ENSMUSG00000000266.11,142.981235319724,-0.351611427355018,0.345265960994936,-1.01837848811333,0.308498121277685,0.41191387678276
ENSMUSG00000000275.16,576.103637064057,-0.125210457869093,0.20765017469904,-0.602987491104056,0.546517010756884,0.644776247028062
ENSMUSG00000000276.11,142.351097948534,0.898860988082339,0.266685456104839,3.37049121917238,0.000750342972891746,0.00222975164736114
ENSMUSG00000000278.10,434.695438282296,-2.03217480277282,0.223635989137988,-9.08697571712807,1.01832122175716E-19,2.37408170042361E-18
ENSMUSG00000000282.12,301.683855155928,1.1657865376667,0.221674875334855,5.25899263913286,1.44846687051177E-07,8.75892012090483E-07
ENSMUSG00000000290.13,620.197911523685,0.163559794309106,0.247898070147551,0.659786476803768,0.509390862727013,0.612705967870231
ENSMUSG00000000295.12,83.196765628386,-1.14740180860529,0.348345810368695,-3.29385850052526,0.000988222325231518,0.00286158492878245
ENSMUSG00000000296.7,37.0303938896207,-2.66316655150888,0.599605337793379,-4.44153242749582,8.93204829564237E-06,3.99331911749933E-05
ENSMUSG00000000301.16,44.9063899248508,-0.153153267858849,0.42478798807077,-0.360540486453995,0.718442985669116,0.792143013132674
ENSMUSG00000000303.12,1926.45251635546,-0.181807779367419,0.157025965975021,-1.15781984360689,0.246937563678357,0.34370861981237
ENSMUSG00000000305.12,29.3726599160614,2.5481863731928,0.667656662897905,3.81661191267472,0.00013529672296559,0.000475546539767868
ENSMUSG00000000308.14,113.728796232608,-1.81381566247737,0.397645133337112,-4.56139283600804,5.08154091155627E-06,2.38210726829139E-05
ENSMUSG00000000317.11,44.5333981201367,0.340490663861726,0.445468544089462,0.764342776565043,0.444662999997264,0.550223864502459
ENSMUSG00000000318.16,214.066477922013,-0.975808281995243,0.271386436760242,-3.59564130633885,0.000323593419258795,0.00104437857626195
ENSMUSG00000000320.10,131.142283931724,0.131617302346964,0.31516197645864,0.41761796212189,0.676226461849489,0.757065883975399
